trading_symbol,exchange,type,name,instrument_key
JPYINR26MAR61CE,NCD_FO,OPTCUR,JPYINR,NCD_FO|14294
JPYINR26MAR61PE,NCD_FO,OPTCUR,JPYINR,NCD_FO|14295
NIFTY2561923550CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50917
NIFTY2561923550PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50918
GBPINR25DEC118.25PE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14277
GBPINR25DEC118CE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14274
GBPINR25DEC118PE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14275
GBPINR25DEC118.25CE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14276
LTF25JUN215PE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|50910
LTF25JUN215CE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|50909
LTF25JUN185PE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115506
LTF25JUN190CE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115507
LTF25JUN180PE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115504
LTF25JUN185CE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115505
LTF25JUN190PE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115508
LTF25JUN195CE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115509
NIFTY2561923500PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50900
LTF25JUN175PE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115502
LTF25JUN180CE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115503
LTF25JUN170PE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115500
LTF25JUN175CE,NSE_FO,OPTSTK,L&T FINANCE LIMITED,NSE_FO|115501
ABCAPITAL25AUG200CE,NSE_FO,OPTSTK,ADITYA BIRLA CAPITAL LTD.,NSE_FO|74944
ABCAPITAL25AUG200PE,NSE_FO,OPTSTK,ADITYA BIRLA CAPITAL LTD.,NSE_FO|74945
GBPINR25SEP100PE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14211
NIFTY27DEC30000CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|35346
GBPINR25SEP100.25CE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14212
GBPINR25SEP100.25PE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14213
ANGELONE25JUL3300PE,NSE_FO,OPTSTK,ANGEL ONE LIMITED,NSE_FO|35341
GBPINR25SEP100CE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14210
NIFTY25JUN27000PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50970
ANGELONE25JUL3300CE,NSE_FO,OPTSTK,ANGEL ONE LIMITED,NSE_FO|35338
NIFTY25DEC27000CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50971
NIFTY25DEC27000PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50972
ANGELONE25JUN3300PE,NSE_FO,OPTSTK,ANGEL ONE LIMITED,NSE_FO|35336
NIFTY26JUN27000CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50973
NIFTY2561924300CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50974
NIFTY2561924300PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50975
NIFTY26JUN27000PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50976
NIFTY2561924350CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50977
NIFTY26DEC27000CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50978
NIFTY26DEC27000PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50979
NIFTY28JUN30000CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|35352
NIFTY28JUN30000PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|35353
GBPINR25SEP99.75CE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14208
GBPINR25SEP99.75PE,NCD_FO,OPTCUR,GBPINR,NCD_FO|14209
NIFTY2561924050PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50960
NIFTY2561924100CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50961
NIFTY2561924100PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50962
NIFTY27DEC30000PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|35347
NIFTY2561924150CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50963
NIFTY2561924150PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50964
NIFTY2561924200CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50965
NAUKRI25JUN1300CE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115565
NIFTY2561924200PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50966
NIFTY2561924250CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50967
NIFTY2561924250PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50968
NAUKRI25JUN1340PE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115568
NIFTY25JUN27000CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50969
NAUKRI25JUN1380CE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115569
NAUKRI25JUN1300PE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115566
NAUKRI25JUN1340CE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115567
BHARATFORG25JUN1320PE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74928
BHARATFORG25JUN1360CE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74929
BHARATFORG25JUN1280PE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74926
BHARATFORG25JUN1320CE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74927
BHARATFORG25JUN1240PE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74924
NAUKRI25JUN1420CE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115571
BHARATFORG25JUN1280CE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74925
NAUKRI25JUN1420PE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115572
BHARATFORG25JUN1200PE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74922
BHARATFORG25JUN1240CE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74923
NAUKRI25JUN1380PE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115570
BSE25JUL3250PE,NSE_FO,OPTSTK,BSE LIMITED,NSE_FO|35367
BHARATFORG25JUN1160PE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74920
UNOMINDA25AUG1040PE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140531
BHARATFORG25JUN1200CE,NSE_FO,OPTSTK,BHARAT FORGE LTD,NSE_FO|74921
UNOMINDA25AUG1080CE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140532
BSE25JUL3250CE,NSE_FO,OPTSTK,BSE LIMITED,NSE_FO|35366
UNOMINDA25AUG1040CE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140530
GODREJCP25JUN1460PE,NSE_FO,OPTSTK,GODREJ CONSUMER PRODUCTS,NSE_FO|35363
UNOMINDA25AUG1120PE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140535
SUNPHARMA25JUN1520PE,NSE_FO,OPTSTK,SUN PHARMACEUTICAL IND L,NSE_FO|140536
UNOMINDA25AUG1080PE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140533
GODREJCP25JUN1460CE,NSE_FO,OPTSTK,GODREJ CONSUMER PRODUCTS,NSE_FO|35362
UNOMINDA25AUG1120CE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140534
UNOMINDA25AUG1000CE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140528
NIFTY2561924500PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50990
UNOMINDA25AUG1000PE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140529
NIFTY2561924550CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50991
UNOMINDA25AUG960CE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140526
NIFTY2561924550PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50992
UNOMINDA25AUG960PE,NSE_FO,OPTSTK,UNO MINDA LIMITED,NSE_FO|140527
NIFTY2561924600CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50993
NIFTY2561924600PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50994
NIFTY2561924650CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50995
NIFTY2561924650PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50996
NIFTY2561924700CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50997
NAUKRI25JUN1500CE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115575
NIFTY2561924700PE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50998
NAUKRI25JUN1500PE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115576
NIFTY2561924750CE,NSE_FO,OPTIDX,NIFTY,NSE_FO|50999
NAUKRI25JUN1460CE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115573
NAUKRI25JUN1460PE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115574
NAUKRI25JUN1580CE,NSE_FO,OPTSTK,INFO EDGE (I) LTD,NSE_FO|115579
